BridgeField	Type	Populated/1224	Example	NativeColumn	OnPropertyCandidate	ImportMapsToForm	ReviewPresenterSection	StellarDetailDisplays	ImportedListingDisplays	Status
@odata.id	string	1202	https://api.bridgedataoutput.com/api/v2/OData/stellar/Property('e8ea2e5193b25dbab98d77f1e1	—	N	N	N	N	N	RAW-JSON ONLY (never read)
AccessibilityFeatures	array	59	["Accessible Approach with Ramp","Accessible Common Area","Accessible Doors","Accessible F	—	N	N	Interior	Y	N	SEARCH + REVIEW ONLY (import loses)
AdditionalParcelsDescription	string	83	253017000000021440	—	N	N	N	N	N	RAW-JSON ONLY (never read)
AdditionalParcelsYN	boolean	557	false	—	N	N	N	N	N	RAW-JSON ONLY (never read)
Appliances	array	600	["Dryer","Microwave","Range","Refrigerator","Washer"]	—	Y	Y	Interior	Y	Y	FULL PARITY
ApprovalStatus	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
ArchitecturalStyle	array	1	["Contemporary"]	—	N	N	Exterior	N	N	REVIEW ONLY (not persisted)
AssociationAmenities	array	113	["Cable TV","Elevator(s)","Golf Course","Shuffleboard Court","Tennis Court(s)"]	—	N	N	Community	Y	N	SEARCH + REVIEW ONLY (import loses)
AssociationFee	-	0		association_fee	Y	Y	Community	Y	Y	NOT POPULATED IN SAMPLE
AssociationFee2	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
AssociationFee2Frequency	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
AssociationFeeFrequency	string	1	Monthly	—	N	N	Community	Y	N	SEARCH + REVIEW ONLY (import loses)
AssociationFeeIncludes	array	5	["Insurance","Maintenance Structure","Maintenance Grounds","Maintenance Repairs","Sewer","	—	N	N	Community	N	N	REVIEW ONLY (not persisted)
AssociationName	string	472	Jerilyn Smith	—	N	N	N	Y	N	PERMISSION/DISPLAY-RIGHTS RESTRICTION
AssociationName2	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
AssociationPhone	string	144	813-522-6346	—	N	N	N	N	N	PERMISSION/DISPLAY-RIGHTS RESTRICTION
AssociationPhone2	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
